#1												
double data(17520, 13)												
196200	0	0	0	138.05	4932.02	765.31	954.27	52.75	0	144.17	0	6986.58
198000	0	0	0	184.07	3021.99	770.27	961.87	54.39	0	120.38	0	5112.96
199800	0	0	0	155.15	2790.36	781.08	974.83	89.95	0	108.76	0	4900.13
201600	0	0	0	286.41	5515.76	3111.89	993.29	90.58	0	125.81	0	10123.74
203400	0	0	80.68	299.93	5737.64	3244.47	1013.83	117.86	0	147.46	0	10641.87
205200	0	137.54	161.35	310.45	6720.82	3429.86	1029.38	104.67	0	444.26	0	12338.34
207000	0	317.54	242.03	316.8	6693.16	3517.84	1039.25	215.18	0	312.47	0	12654.28
208800	0	182.3	322.7	325.91	7103.74	3689.78	1056.62	175.07	0	300.12	4000	17156.24
210600	0	270.83	325.14	337.44	7710.75	3840.7	1077.37	261.6	0	400.16	1672.73	15896.7
212400	0	346.03	471.2	342.74	7648.06	3935.99	1085.44	181.97	0	632.04	1454.55	16098.02
214200	28.58	254.28	282.5	342.83	7803.72	3959.29	1081.12	185.85	0	447.1	1309.09	15694.36
216000	57.17	274.1	334.71	363.47	7809.22	3948.41	1068.42	159.46	0	658.55	1309.09	15982.59
217800	85.75	251.97	268.89	379.81	7685.46	3913.28	1054.75	261.99	0	519.85	1236.36	15658.1
219600	114.34	215.04	491.34	402.49	7649.87	4150.32	1044.75	179.85	0	589.04	1163.64	16000.67
221400	142.25	325.35	223.6	429.97	7742.32	4328.35	1045.71	226.52	0	611.09	1090.91	16166.08
223200	137.82	263.99	424.97	438.34	7703.28	4325.46	1046.47	214.4	0	599.59	1018.18	16172.49
225000	79.91	257.35	235.69	447.22	7704.83	4336.5	1052.17	222.32	0	581.39	945.45	15862.82
226800	235.52	283.03	241.32	451.36	7694.51	4360.27	1057.52	230.76	0	558.03	872.73	15985.04
228600	0	223.26	267.62	453.61	7884.13	4384.09	1061.87	222.76	0	542.3	872.73	15912.37
230400	82.32	259.48	161.91	453.47	7682.48	4420.46	1067.32	175.65	0	542.01	872.73	15717.81
232200	81.95	245.99	278.05	452.98	7875.15	4475.42	1074.08	220.45	0	537.58	0	15241.64
234000	0	188.15	121.5	448.23	7807.28	4464.46	1073.53	159.98	0	425.74	0	14688.86
235800	0	233.66	0	435.88	7587.14	4442.03	1065.02	135.88	0	333.43	0	14233.03
237600	0	80.24	0	426.23	7012.87	4237.97	1044.29	126.32	0	285.31	0	13213.22
239400	0	91.75	0	411.39	6464.96	4131.8	1023.84	91.42	0	224.82	0	12439.98
241200	0	43.09	0	400.42	6262.66	4059.05	1011.54	71.65	0	122.19	0	11970.6
243000	0	42.2	0	395.49	5909.33	4027.83	1005.83	57.84	0	109.95	0	11548.47
244800	0	0	0	394.06	6060.62	4043.85	1004.96	56.72	0	125.73	0	11685.93
246600	0	0	0	394.69	5787.35	4007.69	1007.2	57.87	0	146.02	0	11400.8
248400	0	0	0	392.79	5445.3	3807.26	1003.51	57.3	0	121.49	0	10827.65
250200	0	0	0	386.61	5191.69	3684.27	992.49	58.56	0	109.21	0	10422.84
252000	0	0	0	325	2403.87	985.44	984.66	56.55	0	124.92	4000	8880.44
253800	0	0	0	275.69	2028.49	767.91	979.08	56.44	0	144.96	1672.73	5925.3
255600	0	0	0	116.41	1447.45	220.54	976.57	54.86	0	120.65	1454.55	4391.02
257400	0	0	0	0	1214.1	250.08	977.7	56.57	0	108.71	1309.09	3916.26
259200	0	0	0	0	1279.25	274.91	978	57.98	0	124.5	1309.09	4023.72
261000	0	0	0	0	1366.8	284.93	977.61	56.07	0	144.92	1236.36	4066.69
262800	0	0	0	0	1212.4	292.6	974.38	56.1	0	120.71	1163.64	3819.82
264600	0	0	0	0	1286.63	297.72	968.23	54.63	0	108.6	1090.91	3806.73
266400	0	0	0	0	1260.37	295.09	965.19	56	0	124.1	1018.18	3718.93
268200	0	0	0	0	1259.22	290.38	966.55	57.59	0	144.49	945.45	3663.69
